location,total_sqft,bath,price,bhk,price_per_sqft
Electronic City Phase II,1056.0,2.0,39.07,2,3699.810606060606
Uttarahalli,1440.0,2.0,62.0,3,4305.555555555556
Lingadheeranahalli,1521.0,3.0,95.0,3,6245.890861275477
Kothanur,1200.0,2.0,51.0,2,4250.0
Whitefield,1170.0,2.0,38.0,2,3247.863247863248
7th Phase JP Nagar,1000.0,2.0,38.0,2,3800.0
Gottigere,1100.0,2.0,40.0,2,3636.3636363636365
Mysore Road,1175.0,2.0,73.5,2,6255.31914893617
Raja Rajeshwari Nagar,1540.0,3.0,60.0,3,3896.103896103896
other,1100.0,2.0,48.0,2,4363.636363636364
Binny Pete,1755.0,3.0,122.0,3,6951.5669515669515
Bellandur,1767.0,3.0,103.0,3,5829.088851160159
Whitefield,1610.0,3.0,81.0,3,5031.055900621118
Ramagondanahalli,1151.0,2.0,48.77,2,4237.185056472633
Kasturi Nagar,1925.0,3.0,125.0,3,6493.506493506494
Electronics City Phase 1,1070.0,2.0,45.5,2,4252.336448598131
Kundalahalli,1724.0,3.0,125.0,3,7250.580046403712
Uttarahalli,1143.0,2.0,45.0,2,3937.0078740157483
Murugeshpalya,1296.0,2.0,81.0,2,6250.0
Kanakpura Road,1330.74,2.0,91.79,2,6897.665960292769
Doddathoguru,970.0,2.0,33.0,2,3402.061855670103
Whitefield,1459.0,2.0,94.82,2,6498.971898560658
other,1270.0,2.0,50.0,2,3937.0078740157483
Bhoganhalli,1670.0,3.0,99.0,3,5928.143712574851
Whitefield,2010.0,3.0,91.0,3,4527.363184079602
Lakshminarayana Pura,1185.0,2.0,75.0,2,6329.113924050633
Yelahanka,1600.0,2.0,75.0,3,4687.5
Begur Road,1200.0,2.0,44.0,2,3666.6666666666665
Varthur,1160.0,2.0,44.0,2,3793.103448275862
Doddathoguru,1100.0,2.0,62.0,2,5636.363636363636
Gunjur,1140.0,2.0,43.0,2,3771.9298245614036
Marathahalli,1220.0,2.0,57.0,2,4672.131147540984
Kanakpura Road,1005.0,2.0,36.68,2,3649.7512437810947
Begur Road,1358.0,2.0,80.58,2,5933.726067746687
Hegde Nagar,1569.0,3.0,101.0,3,6437.221159974506
Haralur Road,1240.0,2.0,70.0,2,5645.1612903225805
Kothannur,1206.0,2.0,48.23,2,3999.1708126036483
Kalena Agrahara,1150.0,2.0,40.0,2,3478.2608695652175
other,1660.0,2.0,105.0,3,6325.301204819277
Yelahanka,1326.0,2.0,78.0,2,5882.35294117647
Kanakpura Road,1665.0,3.0,88.0,3,5285.285285285286
Kasavanhalli,1060.0,2.0,58.06,2,5477.358490566037
Sanjay nagar,1000.0,2.0,70.0,2,7000.0
Electronic City,1000.0,2.0,28.88,2,2888.0
other,1450.0,2.0,70.0,3,4827.586206896552
Thanisandra,1296.0,2.0,80.0,2,6172.83950617284
Domlur,1540.0,3.0,90.0,3,5844.1558441558445
other,1200.0,2.0,65.0,2,5416.666666666667
other,1007.0,2.0,43.0,2,4270.109235352532
other,1200.0,2.0,50.0,2,4166.666666666667
other,966.0,2.0,49.9,2,5165.631469979296
Nagarbhavi,1630.0,2.0,98.0,3,6012.269938650306
Devanahalli,1260.0,2.0,66.78,2,5300.0
other,1800.0,3.0,120.0,3,6666.666666666667
other,1413.0,2.0,75.0,3,5307.855626326964
Whitefield,1116.0,2.0,51.91,2,4651.433691756272
Kengeri,1540.0,2.0,64.0,3,4155.8441558441555
Thanisandra,1436.0,3.0,74.75,3,5205.431754874652
Malleshwaram,1100.0,2.0,75.0,2,6818.181818181818
Kadugodi,1050.0,2.0,34.0,2,3238.095238095238
other,1600.0,3.0,65.0,3,4062.5
other,945.0,2.0,54.0,2,5714.285714285715
Hormavu,1500.0,2.0,78.0,2,5200.0
other,1870.0,3.0,110.0,3,5882.35294117647
Sarjapur,1600.0,3.0,75.0,3,4687.5
Kudlu Gate,1535.0,3.0,83.0,3,5407.166123778502
Kanakpura Road,950.0,2.0,57.0,2,6000.0
Devanahalli,1360.0,2.0,65.0,2,4779.411764705882
8th Phase JP Nagar,1073.5,2.0,54.005,2,5030.740568234746
Kasavanhalli,1563.05,3.0,105.0,3,6717.635392341896
other,1000.0,2.0,60.0,2,6000.0
Anandapura,1167.0,2.0,43.76,2,3749.7857754927163
Kothanur,1828.0,3.0,110.0,3,6017.505470459519
Kannamangala,957.0,2.0,58.0,2,6060.606060606061
Hulimavu,1125.0,2.0,50.0,2,4444.444444444444
Electronic City Phase II,1020.0,2.0,30.6,2,3000.0
Kalena Agrahara,1200.0,2.0,50.0,2,4166.666666666667
Thanisandra,1735.0,3.0,135.0,3,7780.979827089337
Thanisandra,2050.0,3.0,145.0,3,7073.170731707317
Hosa Road,1063.0,2.0,32.0,2,3010.348071495767
other,1904.0,3.0,150.0,3,7878.151260504202
Sarjapur,1242.5,2.0,43.49,2,3500.201207243461
other,1425.0,2.0,75.0,3,5263.1578947368425
Electronic City,1500.0,2.0,64.5,3,4300.0
Electronic City,1060.0,2.0,60.0,2,5660.377358490566
other,1470.0,2.0,70.0,3,4761.9047619047615
Electronic City,1152.0,2.0,64.5,2,5598.958333333333
Electronic City,1350.0,2.0,56.0,3,4148.148148148148
CV Raman Nagar,1550.0,3.0,65.0,3,4193.548387096775
other,1500.0,3.0,100.0,3,6666.666666666667
Hulimavu,1242.0,2.0,51.0,2,4106.280193236715
Vijayanagar,1704.0,3.0,110.0,3,6455.399061032864
Electronic City,1070.0,2.0,52.0,2,4859.813084112149
other,1340.0,2.0,55.7,2,4156.7164179104475
Electronic City,1025.0,2.0,46.0,2,4487.804878048781
KR Puram,1277.5,2.0,56.8,2,4446.183953033268
Marathahalli,1200.0,2.0,52.0,2,4333.333333333333
other,1550.0,2.0,80.0,3,5161.290322580645
Marathahalli,1200.0,2.0,60.0,2,5000.0
Yelahanka,1327.0,2.0,98.0,2,7385.079125847777
Kothanur,1186.0,2.0,58.0,2,4890.387858347386
other,1783.0,3.0,115.0,3,6449.8037016264725
HSR Layout,1400.0,3.0,56.0,3,4000.0
other,980.0,2.0,48.0,2,4897.959183673469
EPIP Zone,1285.0,2.0,82.0,2,6381.322957198444
Whitefield,1225.0,2.0,47.6,2,3885.714285714286
Whitefield,1075.0,2.0,53.0,2,4930.232558139535
Kogilu,1909.0,3.0,88.0,3,4609.743321110529
Panathur,1359.0,2.0,87.0,2,6401.766004415011
other,1207.0,2.0,43.5,2,3603.976801988401
Kammasandra,1595.0,3.0,65.0,3,4075.2351097178685
other,1798.0,3.0,89.0,3,4949.944382647386
Electronics City Phase 1,1475.0,3.0,78.29,3,5307.796610169492
other,1580.0,3.0,100.0,3,6329.113924050633
Dasarahalli,1295.0,2.0,65.0,2,5019.305019305019
other,1415.0,3.0,78.0,3,5512.367491166077
Sarjapur  Road,1787.0,3.0,98.29,3,5500.279798545048
Sarjapur  Road,1787.0,3.0,125.0,3,6994.963626189144
Koramangala,1475.0,2.0,90.0,3,6101.6949152542375
Sarjapur  Road,984.0,2.0,44.28,2,4500.0
7th Phase JP Nagar,1080.0,2.0,72.0,2,6666.666666666667
Hebbal,1900.0,3.0,119.0,3,6263.1578947368425
Budigere,1153.0,2.0,56.4,2,4891.587163920208
other,1148.0,2.0,60.0,2,5226.480836236934
other,1110.0,2.0,55.0,2,4954.954954954955
Electronic City,1100.0,2.0,42.0,2,3818.181818181818
other,1500.0,2.0,65.0,3,4333.333333333333
other,1080.0,2.0,39.0,2,3611.1111111111113
Vijayanagar,1933.0,3.0,129.0,3,6673.564407656492
other,1060.0,2.0,60.0,2,5660.377358490566
other,1644.0,3.0,84.0,3,5109.489051094891
other,1285.0,2.0,72.5,2,5642.023346303502
Electronic City,910.0,2.0,40.0,2,4395.604395604396
Kothanur,1577.0,3.0,70.0,3,4438.807863031072
other,1060.0,2.0,55.0,2,5188.679245283019
7th Phase JP Nagar,1270.0,2.0,93.0,2,7322.834645669292
other,1280.0,2.0,69.0,2,5390.625
Sarjapur  Road,1025.0,2.0,36.0,2,3512.1951219512193
Electronic City,1108.0,2.0,63.0,2,5685.9205776173285
Vijayanagar,1500.0,3.0,75.5,3,5033.333333333333
Raja Rajeshwari Nagar,1295.0,2.0,43.9,2,3389.96138996139
Budigere,1162.0,2.0,59.9,2,5154.9053356282275
Sarjapur  Road,1035.0,2.0,49.2,2,4753.623188405797
Kalena Agrahara,1804.0,3.0,120.0,3,6651.884700665189
Talaghattapura,1868.0,3.0,131.0,3,7012.847965738758
Kogilu,1664.0,2.0,73.95,3,4444.110576923077
Hegde Nagar,2026.0,3.0,132.0,3,6515.301085883514
Balagere,1210.0,2.0,80.9,2,6685.950413223141
Kadugodi,1762.0,3.0,91.45,3,5190.124858115778
Electronics City Phase 1,1490.0,3.0,78.8,3,5288.5906040268455
Kalena Agrahara,1200.0,2.0,40.0,2,3333.3333333333335
other,1084.0,2.0,50.0,2,4612.546125461255
Kanakpura Road,1017.0,2.0,51.25,2,5039.331366764995
Haralur Road,1027.0,2.0,44.0,2,4284.323271665044
Electronic City Phase II,1069.0,2.0,45.0,2,4209.541627689429
Hebbal,1349.0,2.0,98.2,2,7279.466271312083
9th Phase JP Nagar,1005.0,2.0,50.0,2,4975.124378109453
Jakkur,1417.0,2.0,75.0,2,5292.87226534933
